value,sector,center_degrees
0,1,0
0.01,2,30
0.08,3,60
0.38,4,90
0.3,5,120
0.04,6,150
0.01,7,180
0.03,8,210
0.09,9,240
0.04,10,270
0.01,11,300
0,12,330
